HRLM,TC,GSR
,29.375,
,29.3125,
,29.3125,
,29.3125,
,29.3125,
,29.3125,
,29.25,
,29.25,
,29.375,
,29.1875,
,29.4375,
,29.25,
,29.3125,
,29.3125,
,29.25,
,29.3125,
,29.25,
,29.3125,
,29.25,
,29.125,
,29.25,
,29.1875,
,29.3125,
,29.1875,
,29.1875,
,29.25,
,29.3125,
,29.25,
,29.3125,
,29.3125,
,29.1875,
,29.3125,
,29.4375,
,29.375,
,29.375,
,29.375,
,29.3125,
,29.375,
,29.3125,
,29.375,
,29.1875,
,29.3125,
,29.3125,
,29.4375,
,29.25,
,29.25,
,29.375,
,29.25,
,29.1875,
,29.375,
,29.25,
,29.5625,
,29.125,
,29.25,
,29.375,
,29.3125,
,29.375,
,29.4375,
,29.25,
,29.3125,
,29.3125,
,29.375,
,29.3125,
,29.375,
,29.4375,
,29.375,
,29.4375,
,29.375,
,29.3125,
,29.3125,
,29.25,
,29.375,
,29.3125,
,29.3125,
,29.375,
,29.3125,
,29.375,
,29.1875,
,29.3125,
,29.25,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.375,
,29.3125,
,29.25,
,29.25,
,29.375,
,29.3125,
,29.25,
,29.25,
,29.375,
,29.3125,
,29.375,
,29.3125,
,29.25,
,29.375,
,29.25,
,29.4375,
,29.375,
,29.3125,
,29.25,
,29.375,
,29.375,
,29.3125,
,29.1875,
,29.25,
,29.375,
,29.25,
,29.375,
,29.3125,
,29.375,
,29.25,
,29.3125,
,29.3125,
,29.3125,
,29.25,
,29.4375,
,29.3125,
,29.375,
,29.3125,
,29.3125,
,29.375,
,29.1875,
,29.4375,
,29.1875,
,29.375,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.3125,
,29.3125,
,29.4375,
,29.5,
,29.1875,
,29.25,
,29.25,
,29.375,
,29.375,
,29.3125,
,29.375,
,29.3125,
,29.3125,
,29.3125,
,29.3125,
,29.5,
,29.25,
,29.375,
,29.3125,
,29.4375,
,29.25,
,29.0625,
,29.375,
,29.3125,
,29.375,
,29.3125,
,29.25,
,29.375,
,29.25,
,29.25,
,29.25,
,29.3125,
,29.3125,
,29.25,
,29.4375,
,29.3125,
,29.375,
,29.3125,
,29.4375,
,29.4375,
,29.4375,
,29.1875,
,29.3125,
,29.375,
,29.375,
,29.4375,
,29.1875,
,29.25,
,29.375,
,29.1875,
,29.375,
,29.375,
,29.3125,
,29.375,
,29.25,
,29.3125,
,29.375,
,29.4375,
,29.4375,
,29.25,
,29.3125,
,29.3125,
,29.3125,
,29.25,
,29.375,
,29.3125,
,29.25,
,29.25,
,29.3125,
,29.1875,
,29.375,
,29.3125,
,29.3125,
,29.4375,
,29.3125,
,29.375,
,29.3125,
,29.375,
,29.3125,
,29.1875,
,29.375,
,29.375,
,29.3125,
,29.375,
,29.25,
,29.25,
,29.25,
,29.3125,
,29.375,
,29.25,
,29.3125,
,29.25,
,29.3125,
,29.25,
,29.375,
,29.3125,
,29.3125,
,29.3125,
,29.25,
,29.3125,
,29.25,
,29.3125,
,29.3125,
,29.3125,
,29.5,
,29.375,
,29.375,
,29.375,
,29.4375,
,29.25,
,29.3125,
,29.375,
,29.1875,
,29.3125,
,29.1875,
,29.5,
,29.3125,
,29.375,
,29.25,
,29.25,
,29.25,
,29.25,
,29.25,
,29.25,
,29.1875,
,29.25,
,29.25,
,29.3125,
,29.1875,
,29.375,
,29.3125,
,29.3125,
,29.375,
,29.375,
,29.1875,
,29.25,
,29.1875,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.3125,
,29.25,
,29.1875,
,29.25,
,29.1875,
,29.25,
,29.3125,
,29.25,
,29.1875,
,29.375,
,29.25,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.1875,
,29.25,
,29.125,
,29.3125,
,29.3125,
,29.375,
,29.5,
,29.375,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.3125,
,29.4375,
,29.3125,
,29.375,
,29.375,
,29.3125,
,29.4375,
,29.3125,
,29.25,
,29.25,
,29.375,
,29.4375,
,29.25,
,29.3125,
,29.4375,
,29.25,
,29.25,
,29.375,
,29.3125,
,29.375,
,29.1875,
,29.1875,
,29.3125,
,29.125,
,29.25,
,29.25,
,29.3125,
,29.375,
,29.375,
,29.3125,
,29.1875,
,29.1875,
,29.25,
,29.3125,
,29.25,
,29.25,
,29.3125,
,29.25,
,29.25,
,29.3125,
,29.3125,
,29.125,
,29.4375,
,29.125,
,29.25,
,29.25,
,29.3125,
,29.3125,
,29.25,
,29.3125,
,29.3125,
,29.1875,
,29.25,
,29.1875,
,29.25,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.1875,
,29.3125,
,29.25,
,29.25,
,29.1875,
,29.25,
,29.1875,
,29.25,
,29.1875,
,29.1875,
,29.3125,
,29.3125,
,29.375,
,29.25,
,29.3125,
,29.3125,
,29.25,
,29.25,
,29.1875,
,29.25,
,29.1875,
,29.1875,
,29.3125,
,29.1875,
,29.1875,
,29.3125,
,29.25,
,29.25,
,29.25,
,29.375,
,29.1875,
,29.1875,
,29.1875,
,29.1875,
,29.4375,
,29.1875,
,29.3125,
,29.375,
,29.1875,
,29.3125,
,29.3125,
,29.25,
,29.3125,
,29.1875,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.1875,
,29.1875,
,29.3125,
,29.1875,
,29.1875,
,29.25,
,29.25,
,29.1875,
,29.25,
,29.25,
,29.3125,
,29.375,
,29.375,
,29.1875,
,29.25,
,29.3125,
,29.375,
,29.1875,
,29.25,
,29.25,
,29.1875,
,29.1875,
,29.3125,
,29.3125,
,29.3125,
,29.3125,
,29.25,
,29.375,
,29.1875,
,29.25,
,29.375,
,29.25,
,29.3125,
,29.3125,
,29.3125,
,29.3125,
,29.3125,
,29.1875,
,29.25,
,29.25,
,29.1875,
,29.25,
,29.25,
,29.25,
,29.375,
,29.375,
,29.375,
,29.3125,
,29.3125,
,29.1875,
,29.25,
,29.3125,
,29.375,
,29.3125,
,29.125,
,29.25,
,29.1875,
,29.3125,
,29.1875,
,29.3125,
,29.375,
,29.375,
,29.3125,
,29.1875,
,29.1875,
,29.3125,
,29.125,
,29.25,
,29.3125,
,29.1875,
,29.3125,
,29.375,
,29.375,
,29.3125,
,29.3125,
,29.25,
,29.1875,
,29.3125,
,29.3125,
,29.375,
,29.25,
,29.125,
,29.3125,
,29.3125,
,29.25,
,29.375,
,29.25,
,29.3125,
,29.25,
,29.4375,
,29.1875,
,29.3125,
,29.375,
,29.375,
,29.375,
,29.3125,
,29.3125,
,29.375,
,29.25,
,29.1875,
,29.3125,
,29.1875,
,29.25,
,29.3125,
,29.1875,
,29.1875,
,29.375,
,29.125,
,29.3125,
,29.3125,
,29.125,
,29.3125,
,29.125,
,29.375,
,29.25,
,29.3125,
,29.25,
,29.125,
,29.25,
,29.3125,
,29.5,
,29.3125,
,29.375,
,29.25,
,29.375,
,29.375,
,29.25,
,29.25,
,29.25,
,29.25,
,29.25,
,29.25,
,29.3125,
,29.1875,
,29.25,
,29.1875,
,29.25,
,29.3125,
,29.4375,
,29.3125,
,29.375,
,29.3125,
,29.25,
,29.3125,
,29.375,
,29.375,
,29.25,
,29.375,
,29.3125,
,29.375,
,29.1875,
,29.3125,
,29.1875,
,29.25,
,29.3125,
,29.3125,
,29.1875,
,29.4375,
,29.3125,
,29.375,
,29.125,
,29.25,
,29.3125,
,29.3125,
,29.3125,
,29.1875,
,29.125,
,29.25,
,29.25,
,29.4375,
,29.25,
,29.125,
,29.3125,
,29.1875,
,29.25,
,29.25,
,29.25,
,29.25,
,29.1875,
,29.1875,
,29.3125,
,29.375,
,29.25,
,29.1875,
,29.3125,
,29.375,
,29.25,
,29.1875,
,29.25,
,29.1875,
,29.3125,
,29.4375,
,29.3125,
,29.25,
,29.25,
,29.1875,
,29.3125,
,29.125,
,29.25,
,29.25,
,29.3125,
,29.375,
,29.25,
,29.375,
,29.3125,
,29.125,
,29.1875,
,29.1875,
,29.3125,
,29.375,
,29.1875,
,29.1875,
,29.1875,
,29.25,
,29.3125,
,29.1875,
,29.25,
,29.1875,
,29.375,
,29.1875,
,29.3125,
,29.1875,
,29.3125,
,29.375,
,29.3125,
,29.125,
,29.25,
,29.3125,
,29.3125,
,29.25,
,29.3125,
,29.375,
,29.25,
,29.1875,
,29.1875,
,29.375,
,29.1875,
,29.3125,
,29.3125,
,29.25,
,29.3125,
,29.375,
,29.375,
,29.3125,
,29.375,
,29.375,
,29.3125,
,29.125,
,29.4375,
,29.25,
,29.1875,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.3125,
,29.375,
,29.25,
,29.1875,
,29.3125,
,29.3125,
,29.1875,
,29.3125,
,29.3125,
,29.1875,
,29.3125,
,29.1875,
,29.375,
,29.1875,
,29.5,
,29.4375,
,29.375,
,29.1875,
,29.25,
,29.25,
,29.3125,
,29.25,
,29.3125,
,29.3125,
,29.3125,
,29.25,
,29.3125,
,29.3125,
,29.375,
,29.375,
,29.25,
,29.3125,
,29.1875,
,29.25,
,29.25,
,29.3125,
,29.3125,
,29.1875,
,29.3125,
,29.3125,
,29.25,
,29.1875,
,29.3125,
,29.1875,
,29.375,
,29.1875,
,29.1875,
,29.3125,
,29.375,
,29.3125,
,29.1875,
,29.3125,
,29.3125,
,29.375,
,29.375,
,29.1875,
,29.3125,
,29.4375,
,29.3125,
,29.3125,
,29.25,
,29.125,
,29.375,
,29.1875,
,29.1875,
,29.25,
,29.3125,
,29.25,
,29.3125,
,29.25,
,29.375,
,29.1875,
,29.25,
,29.25,
,29.25,
,29.375,
,29.1875,
,29.3125,
,29.25,
,29.25,
,29.1875,
,29.25,
,29.125,
,29.25,
,29.1875,
,29.1875,
,29.25,
,29.1875,
,29.375,
,29.3125,
,29.25,
,29.1875,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.3125,
,29.1875,
,29.1875,
,29.375,
,29.375,
,29.3125,
,29.25,
,29.3125,
,29.375,
,29.25,
,29.3125,
,29.125,
,29.1875,
,29.3125,
,29.375,
,29.3125,
,29.3125,
,29.1875,
,29.1875,
,29.375,
,29.375,
,29.3125,
,29.3125,
,29.125,
,29.25,
,29.375,
,29.3125,
,29.4375,
,29.3125,
,29.3125,
,29.1875,
,29.375,
,29.4375,
,29.25,
,29.375,
,29.1875,
,29.25,
,29.25,
,29.3125,
,29.1875,
,29.25,
,29.125,
,29.25,
,29.3125,
,29.3125,
,29.375,
,29.25,
,29.3125,
,29.1875,
,29.3125,
,29.3125,
,29.3125,
,29.125,
,29.4375,
,29.3125,
,29.3125,
,29.25,
,29.3125,
,29.375,
,29.25,
,29.3125,
,29.375,
,29.375,
,29.3125,
,29.375,
,29.25,
,29.25,
,29.25,
,29.25,
,29.375,
,29.1875,
,29.3125,
,29.25,
,29.375,
,29.375,
,29.1875,
,29.3125,
,29.375,
,29.25,
,29.25,
,29.25,
,29.1875,
,29.3125,
,29.3125,
,29.375,
,29.25,
,29.3125,
,29.25,
,29.25,
,29.3125,
,29.25,
,29.25,
,29.375,
,29.1875,
,29.25,
,29.3125,
,29.375,
,29.25,
,29.25,
,29.375,
,29.3125,
,29.1875,
,29.375,
,29.1875,
,29.25,
,29.375,
,29.125,
,29.1875,
,29.375,
,29.125,
,29.3125,
,29.3125,
,29.3125,
,29.375,
,29.125,
,29.25,
,29.3125,
,29.3125,
,29.25,
,29.3125,
,29.375,
,29.1875,
,29.3125,
,29.3125,
,29.25,
,29.375,
,29.3125,
,29.3125,
,29.375,
,29.1875,
,29.25,
,29.25,
,29.375,
,29.3125,
,29.3125,
,29.1875,
,29.25,
,29.3125,
,29.3125,
,29.25,
,29.375,
,29.25,
,29.3125,
,29.4375,
,29.375,
,29.3125,
,29.3125,
,29.125,
,29.375,
,29.1875,
,29.3125,
,29.1875,
