INCLY,INCLZ,INCLX
67.31840852873694,-8.46244131004991,20.92971123185673
67.25271681237048,-8.596318802790712,20.94110008779391
67.20013926429152,-8.37425829387496,21.094031137885683
67.33177657707947,-8.298802603265703,20.98608786471691
67.26136163090742,-8.441781461687853,20.99960557612823
67.18118371049262,-8.606585742170024,21.013083049942473
67.17402124720529,-8.666916707965738,20.9939810378394
67.2249182930406,-8.502524863028384,21.012064733268407
67.41080688145473,-8.52172786332508,20.80492940586566
67.44849714010294,-8.521341313841779,20.764771624071948
67.54831243634712,-8.311239475233045,20.749892703854904
67.34112299604716,-8.417246809761338,20.92512425575209
67.26460596408955,-8.248133300825488,21.079129403190233
67.38718398110733,-8.294961579327158,20.928699945507827
67.16985467979022,-8.6209424678885,21.018851384637845
67.33798505890645,-8.530441016380488,20.87898086929423
67.17066905741225,-8.767483554875337,20.952499521203922
67.3275739531045,-8.276482130628182,21.000081465343413
67.3283949798668,-8.47467317322696,20.91370260177108
67.46792821605999,-8.569903899049189,20.722424244486
67.62426014303743,-8.28925324113082,20.678337271014172
67.52857020466155,-8.280563552866449,20.784161556907726
67.27591059466772,-8.424111262605413,20.991742482938854
67.2753159112472,-8.539431075309738,20.942033717131313
67.3994096503139,-8.271287495224787,20.925790439896524
67.17468133544777,-8.705162341054407,20.976199797033797
67.48866186719185,-8.369534032503903,20.7883299535119
67.29509321462486,-8.442031716124298,20.963493304406864
67.15314043702232,-8.891539820085248,20.914936408570338
67.74116813627961,-8.246070470698548,20.57219960168358
67.58814948971367,-8.363488511565166,20.684705792960287
67.36906690345589,-8.64959649380634,20.792770029060446
67.3324009053825,-8.403015377800964,20.940602814269468
67.44067813022731,-8.432850723964302,20.81201367337664
67.47217512585065,-8.524192723683662,20.738168596407174
67.48886370183905,-8.28303484826317,20.825436851482554
67.32328818598499,-8.477151005152377,20.918075241797954
67.33444276734625,-8.442868192668495,20.921118055497917
67.14956068097173,-8.460799222680437,21.11064852558358
67.34144960470036,-8.531098737208566,20.87498594412387
67.56355113762274,-8.223875107516404,20.771148721873846
67.58779586952608,-8.427839420535385,20.656942424617757
67.40995340640082,-8.377124120246057,20.86905552015108
67.18168492403699,-8.70348577629399,20.969446719029506
