HRLM,TC,GSR,INCLY,INCLZ,INCLX
,32.4375,505,0.0135976839,86.5624694824,-3.6257238388
,32.375,505,-0.1089717149,86.4182891845,-3.3873155117
,32.4375,505,-0.1631493663,86.6543960571,-3.2799389362
,32.375,505,-0.0273179149,86.7655944824,-3.5840587615
,32.5,505,0.2587566137,86.4522399902,-3.6188385486
,32.4375,505,-0.1767433738,86.4224853515,-3.7002556324
,32.5,506,0.0951610755,86.3441696166,-3.606142044
,32.375,511,,86.4395065307,-3.6019456386
,32.375,505,-0.1772521257,86.4393310546,-3.4489636421
,32.4375,505,-0.1226164817,86.5944976806,-3.5423245429
,32.375,504,-0.1640189266,86.4995193481,-3.6914982795
,32.4375,505,-0.0409883069,86.3539199829,-3.8322631835
,32.375,504,-0.0950563049,86.2122039794,-3.4138419628
,32.4375,505,-0.1091784362,86.6300582885,-3.5654156208
,32.3125,505,-0.122397232,86.4781265258,-3.5132894515
,32.5,511,-0.4098584175,86.5084686279,-3.3906340599
,32.5,506,0.040991826,86.654762268,-3.4535474777
,32.4375,505,0.0271768379,86.5919876098,-3.5022256374
,32.4375,505,-0.1914092063,86.5381851196,-3.5798513889
,32.5,505,-0.0273093509,86.4656906127,-3.4563598632
,32.375,505,0.0273064517,86.5891799926,-3.5721888542
,32.5,505,-0.136255002,86.4708557128,-3.6239974498
,32.375,505,-0.1497649097,86.4185562133,-3.5832271575
,32.375,505,-0.2596840381,86.4530029296,-3.4389240741
,32.5,505,0.0547707176,86.6062850952,-3.6705129146
,32.3125,506,-0.0950964736,86.3739013671,-3.7353556156
,32.4375,505,-0.0681152105,86.3096694946,-3.6072165966
,32.4375,505,0.0548264217,86.4380187988,-3.7244124412
,32.4375,505,0.0954306221,86.3200149536,-3.5959713459
,32.5,511,0.1225096583,86.4475860595,-3.6314892768
,32.4375,505,-0.3669861793,86.395614624,-3.4650337696
,32.5625,505,-0.1090685482,86.5788955688,-3.3322479724
,32.5625,505,-0.0135933542,86.7133712768,-3.5203063488
,32.5625,505,0.0545441055,86.5249176025,-3.5192465782
,32.5,505,-0.0273699331,86.5262908935,-3.5670726299
,32.3125,505,,86.4785766601,-3.6257135868
,32.4375,505,-0.1770786762,86.4156036376,-3.4543585777
,32.375,511,0.1223245501,86.5891189575,-3.4716243743
,32.4375,505,-0.1775732612,86.5694732666,-3.6324179172
