INCLY,INCLZ,INCLX
2.1622707843,83.5170364379,-5.8282289505
2.070644617,83.8581161499,-6.0717611312
1.9391599655,83.6695327758,-5.9415507316
1.8862081527,83.8098297119,-6.116991043
1.9491941452,83.6233520507,-5.9701805114
1.9778275489,83.7541275024,-6.1159381866
1.9717240333,83.6174240112,-6.1263284683
2.0116410255,83.5951004028,-5.8020596504
2.1042282581,83.87134552,-5.8818016052
2.098401308,83.798248291,-5.7583465576
2.1255867481,83.9050292968,-6.0023202896
1.8973825454,83.7484817504,-6.0410423278
2.0103678703,83.6765136718,-5.7589392662
1.9942064285,83.9489974975,-5.8630228042
2.1420931816,83.8009872436,-5.8400063514
1.943675518,83.8885498046,-5.8155755996
1.9129490852,83.9214782714,-5.8089704513
1.9742397308,83.9081726074,-6.019958496
2.1300549507,83.657333374,-6.0350303649
2.0898294448,83.6564865112,-5.9375743865
1.9035028457,83.8083267211,-6.1645650863
1.9654512405,83.5730285644,-6.2341203689
2.155785799,83.4465179443,-5.7481975555
1.9359426498,83.9781188964,-5.6752500534
2.2561063766,83.9356613159,-5.9658837318
1.9446244239,83.7686462402,-6.0334701538
1.9805274963,83.6931381225,-5.9003767967
1.8682126045,83.8545761108,-5.9460215568
2.0607659816,83.7502059936,-6.0026307106
2.0202338695,83.7098007202,-5.8822989463
1.9622515678,83.8425064086,-6.0894546508
1.9675989151,83.643913269,-5.9235420227
1.9395083427,83.810508728,-5.9144067764
2.1275355815,83.7576522827,-5.7643232345
2.023419857,83.9342346191,-6.0673685073
1.9648741722,83.6657867431,-5.9210128784
1.9705516815,83.8031158447,-6.0261406898
1.8102587699,83.751548767,-6.0246391296
2.023037672,83.6880340576,-5.9999337196
2.3251295089,83.6078567504,-6.3257322311
2.0776031017,83.3848266601,-6.0247802734
2.0049736499,83.6936645507,-6.1745529174
2.0229537487,83.5457077026,-6.0301270484
1.8711062431,83.7298355102,-5.8739891052
1.9458755493,83.8555908203,-5.6615247726
1.9433588981,84.0578155517,-6.1197633743
2.1090784072,83.5700302124,-5.8510789871
1.8476823806,83.9078216552,-5.8859844207
1.9861486434,83.8313522338,-6.1426291465
1.8300171852,83.6342010498,-5.761698246
1.9176918029,83.9711380004,-5.8130874633
2.0485994815,83.8798065185,-6.0345826148
2.0037102699,83.6847610473,-5.9343867301
1.857440567,83.8253707885,-5.8349528312
1.8920693397,83.9095687866,-6.0874605178
1.9713588714,83.6446533203,-6.2157287597
1.7552275657,83.5849685668,-6.1048750877
2.2126088142,83.5493164062,-5.9281511306
1.8918106079,83.8208923339,-5.777469635
2.1463022232,83.8798446655,-6.0167737007
2.0385739803,83.6904907226,-6.0089263916
1.8458352088,83.7576141357,-5.7451295852
1.9618214607,83.9726638793,-6.2807006835
1.9711579322,83.4605178833,-5.8585386276
1.9950820922,83.8544692993,-5.9752235412
1.6887984275,83.8346786499,-6.1285257339
1.9534325599,83.6110534667,-5.9616990089
1.9296707153,83.7772750854,-6.029448986
2.0837295055,83.663772583,-5.819345951
1.9185415267,83.9161300659,-5.787320137
1.989819622,83.9235992431,-5.943637371
2.0920495986,83.7420806884,-6.0300784111
2.0928361415,83.6601715087,-5.954612255
1.9409622192,83.7805099487,-6.270927906
1.8642516136,83.5013504028,-5.8155665397
1.8407851219,83.9437942504,-5.5431709289
2.0329606533,84.1392517089,-5.8405561447
2.0885789394,83.8404388427,-6.0665063858
1.8781250953,83.6929855346,-5.8516316413
1.8838052749,83.8962554931,-5.9280700683
1.9592814445,83.7999877929,-5.8924975395
1.9702159881,83.8302841186,-5.961256504
2.0518722534,83.7387237548,-6.124215126
2.2158463001,83.5300064086,-5.8648543357
1.8792638778,83.8850479125,-5.563858509
1.7242648601,84.2191314697,-6.1136956214
1.92591753,83.6335754394,-6.241177082
2.0227754116,83.482383728,-5.9932374954
2.0445084571,83.710861206,-6.0296034812
2.0429069995,83.6769332885,-5.7429347038
1.9480623245,83.9792022705,-5.8237023353
2.1021335124,83.8516998291,-5.9421696662
1.8827201843,83.8103027343,-5.9234666824
2.0665752887,83.7695999145,-5.925204277
2.013040781,83.7855072021,-5.6770076751
2.1479890346,83.9733657836,-6.020011425
2.1165001392,83.661819458,-5.8616375923
1.9010447502,83.8813858032,-5.959385395
1.7794503211,83.8244247436,-5.9524230957
2.0855174064,83.735961914,-6.3157229423
2.0162858963,83.4133911132,-5.9640259742
1.8988849639,83.784538269,-5.9865236282
2.1151499748,83.6938705444,-5.8039016723
